,1,2,3,4,5,6
0,"Alexandria, LA",Augusta-Aiken,"Albany, GA",Alpena,Abilene-Sweetwater,Amarillo
1,Anchorage,"Bend, OR",Albany-Schenectady-Troy,Bangor,Albuquerque-Santa Fe,Atlanta
2,Bakersfield,Charlotte,Austin,Birmingham (Ann and Tusc),Baltimore,Boise
3,Beaumont-Port Arthur,Cincinnati,Billings,Chicago,Baton Rouge,Bowling Green
4,Butte-Bozeman,Colorado Springs-Pueblo,Biloxi-Gulfport,"Columbia, SC",Binghamton,Casper-Riverton
5,Charleston-Huntington,Ft. Myers-Naples,Bluefield-Beckley-Oak Hill,Davenport-R.Island-Moline,Boston (Manchester),"Charleston, SC"
6,Corpus Christi,Ft. Wayne,Buffalo,Dayton,Champaign&Sprngfld-Decatur,Clarksburg-Weston
7,Dallas-Ft. Worth,Hartford & New Haven,Burlington-Plattsburgh,Dothan,Charlottesville,Cleveland-Akron (Canton)
8,Des Moines-Ames,Jonesboro,Cedar Rapids-Wtrlo-IWC&Dub,Duluth-Superior,"Columbus, GA (Opelika, AL)",Columbia-Jefferson City
9,Detroit,Knoxville,Chattanooga,Fargo-Valley City,Eugene,"Columbus, OH"
10,Evansville,"Lafayette, LA",Cheyenne-Scottsbluff,Ft. Smith-Fay-Sprngdl-Rgrs,Fairbanks,El Paso (Las Cruces)
11,Flint-Saginaw-Bay City,Lansing,Chico-Redding,Gainesville,Grand Rapids-Kalmzoo-B.Crk,Erie
12,Green Bay-Appleton,Lincoln & Hastings-Krny,Columbus-Tupelo-W Pnt-Hstn,Grand Junction-Montrose,Idaho Fals-Pocatllo(Jcksn),Fresno-Visalia
13,Greenville-N.Bern-Washngtn,Lubbock,Denver,Huntsville-Decatur (Flor),Indianapolis,Glendive
14,Harlingen-Wslco-Brnsvl-McA,Macon,Elmira (Corning),Joplin-Pittsburg,"Jackson, MS",Greensboro-H.Point-W.Salem
15,Harrisburg-Lncstr-Leb-York,Mankato,Eureka,Miami-Ft. Lauderdale,"Jackson, TN",Greenwood-Greenville
16,Helena,Marquette,Great Falls,Norfolk-Portsmth-Newpt Nws,Johnstown-Altoona-St Colge,Harrisonburg
17,Honolulu,Memphis,Greenvll-Spart-Ashevll-And,Oklahoma City,Juneau,Lexington
18,Houston,Milwaukee,Hattiesburg-Laurel,Panama City,"Lafayette, IN",Lima
19,Kansas City,Minneapolis-St. Paul,Jacksonville,Parkersburg,Lake Charles,Louisville
20,La Crosse-Eau Claire,Minot-Bsmrck-Dcknsn(Wlstn),Las Vegas,Peoria-Bloomington,Los Angeles,Medford-Klamath Falls
21,Laredo,Missoula,Montgomery-Selma,Philadelphia,Madison,Mobile-Pensacola (Ft Walt)
22,Little Rock-Pine Bluff,Nashville,New Orleans,"Portland, OR",Meridian,Quincy-Hannibal-Keokuk
23,Monterey-Salinas,North Platte,Presque Isle,Portland-Auburn,Monroe-El Dorado,Raleigh-Durham (Fayetvlle)
24,Myrtle Beach-Florence,Ottumwa-Kirksville,Providence-New Bedford,Salisbury,New York,Rapid City
25,Odessa-Midland,Paducah-Cape Girard-Harsbg,Sioux City,Salt Lake City,Orlando-Daytona Bch-Melbrn,Roanoke-Lynchburg
26,Omaha,Rochestr-Mason City-Austin,South Bend-Elkhart,Sherman-Ada,Palm Springs,"Rochester, NY"
27,Phoenix (Prescott),Shreveport,Spokane,Toledo,Pittsburgh,San Antonio
28,Rockford,Syracuse,St. Louis,Tucson (Sierra Vista),Reno,San Diego
29,Savannah,Terre Haute,Tampa-St. Pete (Sarasota),Twin Falls,Richmond-Petersburg,San Francisco-Oak-San Jose
30,Seattle-Tacoma,Tulsa,Topeka,Victoria,Sacramnto-Stkton-Modesto,SantaBarbra-SanMar-SanLuOb
31,"Springfield, MO",Tyler-Longview(Lfkn&Ncgd),Traverse City-Cadillac,Waco-Temple-Bryan,San Angelo,Sioux Falls(Mitchell)
32,Springfield-Holyoke,Utica,"Washington, DC (Hagrstwn)",Watertown,Tallahassee-Thomasville,St. Joseph
33,Wichita Falls & Lawton,Wausau-Rhinelander,Wheeling-Steubenville,Yakima-Pasco-Rchlnd-Knnwck,"Tri-Cities, TN-VA",West Palm Beach-Ft. Pierce
34,Zanesville,Youngstown,Wilmington,Yuma-El Centro,Wilkes Barre-Scranton-Hztn,Wichita-Hutchinson Plus
